,PLAYER,TIME,# MOVES,# EXPLORED,OUTCOME,HAS WIN
0,0,2.709707498550415,15,8462,Termination.CHECKMATE,0
1,1,2.9935975074768066,15,8667,Termination.CHECKMATE,1
0,0,27.467801570892334,61,57003,Termination.CHECKMATE,1
1,1,25.929885625839233,60,52856,Termination.CHECKMATE,0
0,0,20.334853887557983,59,43434,Termination.CHECKMATE,1
1,1,9.422832250595093,58,21640,Termination.CHECKMATE,0
0,0,31.16762113571167,53,64977,Termination.CHECKMATE,0
1,1,35.73984456062317,53,71765,Termination.CHECKMATE,1
0,0,1.7834560871124268,8,5979,Termination.CHECKMATE,0
1,1,1.897092580795288,8,5951,Termination.CHECKMATE,1
0,0,3.4516122341156006,16,10647,Termination.CHECKMATE,1
1,1,3.387244462966919,15,10096,Termination.CHECKMATE,0
0,0,8.659404516220093,28,23154,Termination.CHECKMATE,1
1,1,7.679042100906372,27,20185,Termination.CHECKMATE,0
0,0,2.2208447456359863,10,7104,Termination.CHECKMATE,1
1,1,2.1112473011016846,9,6506,Termination.CHECKMATE,0
0,0,11.505364179611206,33,31333,Termination.CHECKMATE,0
1,1,17.106306076049805,33,42935,Termination.CHECKMATE,1
0,0,5.446327447891235,19,16217,Termination.CHECKMATE,0
1,1,6.5358805656433105,19,19012,Termination.CHECKMATE,1
