,PLAYER,TIME,# MOVES,# EXPLORED,OUTCOME,HAS WIN
0,0,5946.723879337311,253,10389934,Termination.CHECKMATE,1
1,1,5190.074730157852,252,8233140,Termination.CHECKMATE,0
0,0,6351.924199342728,197,11393947,Termination.SEVENTYFIVE_MOVES,0
1,1,4480.815240859985,196,7774862,Termination.SEVENTYFIVE_MOVES,0
0,0,1356.2510681152344,26,3676992,Termination.CHECKMATE,1
1,1,874.5315365791321,25,2399626,Termination.CHECKMATE,0
0,0,3111.428879737854,142,6355052,Termination.CHECKMATE,1
1,1,2832.459967136383,141,5064306,Termination.CHECKMATE,0
0,0,2577.480718612671,114,6167642,Termination.CHECKMATE,0
1,1,2796.81826710701,114,6473524,Termination.CHECKMATE,1
0,0,110.925626039505,8,375827,Termination.CHECKMATE,1
1,1,67.75333166122437,7,222688,Termination.CHECKMATE,0
0,0,1080.9900238513947,27,3009209,Termination.CHECKMATE,0
1,1,1134.4581699371338,27,3068435,Termination.CHECKMATE,1
0,0,1486.360571861267,115,3680933,Termination.CHECKMATE,0
1,1,1034.6254975795746,115,2321048,Termination.CHECKMATE,1
0,0,3948.9037573337555,66,8408569,Termination.CHECKMATE,1
1,1,3220.1897695064545,65,6548771,Termination.CHECKMATE,0
0,0,1374.1053628921509,52,3589962,Termination.CHECKMATE,0
1,1,1290.171438217163,52,3201149,Termination.CHECKMATE,1
